i: 61, n: 26, Target: 15250.0, Mean: 4751.615384615385, Variance: 3450.7634726794445. Greedy Accuracy: 0.9882622950819672
i: 62, n: 27, Target: 15500.0, Mean: 5136.740740740741, Variance: 2831.1960513063705. Greedy Accuracy: 0.9998064516129033
i: 63, n: 28, Target: 15750.0, Mean: 5283.25, Variance: 2338.939192164443. Greedy Accuracy: 0.9996190476190476
i: 64, n: 29, Target: 16000.0, Mean: 5641.137931034483, Variance: 2614.1385305368. Greedy Accuracy: 0.99775
i: 65, n: 15, Target: 6160, Mean: 6184.266666666666, Variance: 3101.42862708283. Greedy Accuracy: 0.9948051948051948
i: 66, n: 16, Target: 9456, Mean: 6182.75, Variance: 3002.9511005842237. Greedy Accuracy: 0.9865693739424704
i: 67, n: 17, Target: 4159, Mean: 6375.294117647059, Variance: 3013.375726064705. Greedy Accuracy: 0.7790334214955519
i: 68, n: 18, Target: 2972, Mean: 6252.166666666667, Variance: 2972.1525916039. Greedy Accuracy: 0.9885598923283984
i: 69, n: 19, Target: 8327, Mean: 6079.526315789473, Variance: 2984.165604414513. Greedy Accuracy: 0.9987990873063528
i: 70, n: 20, Target: 3389, Mean: 6191.9, Variance: 2949.561186007166. Greedy Accuracy: 0.9660666863381528
i: 71, n: 21, Target: 4853, Mean: 6058.428571428572, Variance: 2939.7146374537556. Greedy Accuracy: 0.9748609107768391
i: 72, n: 22, Target: 5516, Mean: 6003.636363636364, Variance: 2883.0805422712597. Greedy Accuracy: 0.9880348078317621
i: 73, n: 23, Target: 4262, Mean: 5982.434782608696, Variance: 2821.4614286877604. Greedy Accuracy: 0.9758329422806195
i: 74, n: 24, Target: 1646, Mean: 5910.75, Variance: 2783.368706112553. Greedy Accuracy: 0.9210206561360875
i: 75, n: 25, Target: 7093, Mean: 5740.16, Variance: 2852.31107251646. Greedy Accuracy: 0.9947835894543916
i: 76, n: 26, Target: 3106, Mean: 5792.192307692308, Variance: 2808.9947972023833. Greedy Accuracy: 0.9568576947842885
i: 77, n: 27, Target: 6472, Mean: 5692.7037037037035, Variance: 2802.7772577664728. Greedy Accuracy: 0.9984548825710754
i: 78, n: 28, Target: 8867, Mean: 5720.535714285715, Variance: 2756.0695549244824. Greedy Accuracy: 0.9927822262320966
i: 79, n: 29, Target: 6236, Mean: 5829.0344827586205, Variance: 2768.321992468245. Greedy Accuracy: 0.9878127004490058
i: 80, n: 20, Target: 4230100566, Mean: 2028994430.8, Variance: 1210969903.2381117. Greedy Accuracy: 0.9984662570312991
i: 81, n: 21, Target: 277069428, Mean: 2133809008.6666667, Variance: 1271353278.5969744. Greedy Accuracy: 0.9554795738777792
i: 82, n: 22, Target: 2934241198, Mean: 2049411755.0, Variance: 1300941974.9483724. Greedy Accuracy: 0.9889166429051004
i: 83, n: 23, Target: 1696434625, Mean: 2087882600.347826, Variance: 1285077962.3542285. Greedy Accuracy: 0.9977466122515626
