i, N, T, s_exh1, s_exh10, s_greedy, s_ILP, s_dp, s_local, t_exh1, t_exh10, t_greedy, t_ILP, t_dp, t_local
48, 20, 19, True, True, 19, 19, True, -1, 2.650408851000009, 2.605511032000095, 0, 0.008899, 0.00019100500000002185, -1
49, 20, 20, True, True, 20, 20, True, -1, 2.6063889160000144, 2.632481726999913, 0, 0.008801, 0.00020229399999993625, -1
50, 15, 12500, False, False, 12389, 12491, False, -1, 0.08194002699997327, 0.07983082400005515, 0, 3.2967, 0.0009697039999999602, -1
51, 16, 12750, False, False, 11590, 12731, False, -1, 0.19008626599998024, 0.15388072400014607, 0, 2.85423, 0.0022191459999999497, -1
52, 17, 13000, False, False, 12962, 13000, False, -1, 0.3222916249999912, 0.32069699099997706, 0, 1.43388, 0.0036277079999998962, -1
53, 18, 13250, False, False, 13247, 13246, False, -1, 0.6486291410000149, 0.6668747430001076, 0, 3.56735, 0.0017944650000001339, -1
54, 19, 13500, False, False, 13540, 13485, False, -1, 1.3272905100000116, 1.3350728750001508, 0, 3.33748, 0.0008274019999998661, -1
55, 20, 13750, False, False, 13659, 13746, False, -1, 2.60718327699999, 2.6836597429999074, 0, 3.16737, 0.002753556000000046, -1
56, 21, 14000, True, True, 13975, 13999, True, -1, 0.11689257300002964, 0.11318693199996233, 0, 3.09674, 0.041573847, -1
57, 22, 14250, True, True, 14201, 14248, True, -1, 0.07475826099999949, 0.07008016299982955, 0, 2.24178, 0.02598741399999982, -1
58, 23, 14500, True, True, 14473, 14499, True, -1, 0.37355568399999584, 0.39655076899998676, 0, 1.96013, 0.04801882000000002, -1
59, 24, 14750, True, True, 14623, 14750, True, -1, 0.5229405430000043, 0.5126040739999098, 0, 1.81125, 0.01804724599999985, -1
60, 25, 15000, True, True, 14953, 15000, True, -1, 1.2784621060000063, 1.3283344769999985, 0, 2.82712, 0.0525868599999999, -1
61, 26, 15250, False, False, 15370, 15250, False, -1, 60.00014216899996, 172.77735387899975, 0, 2.97818, 0.013161907999999833, -1
62, 27, 15500, True, True, 14881, 15500, True, -1, 0.01824086500005251, 0.01815183700000489, 0, 2.46494, 0.03405454799999985, -1
63, 28, 15750, True, True, 15753, 15750, True, -1, 0.058746786000028806, 0.057650029999877006, 0, 2.1808, 0.10812645499999984, -1
64, 29, 16000, True, True, 15958, 16000, True, -1, 5.574669599999993, 5.763539242999741, 0, 2.14293, 0.06844026099999989, -1
65, 15, 6160, False, False, 6192, 6153, False, -1, 0.08476616699999795, 0.08055483499992988, 0, 2.43942, 6.848599999997873e-05, -1
66, 16, 9456, False, False, 9329, 9407, False, -1, 0.16618891500002064, 0.16090861800012135, 0, 1.23582, 0.00017311100000005908, -1
67, 17, 4159, False, False, 3240, 2938, False, -1, 0.34357468999996854, 0.3300895649999802, 0, 0.009651, 2.5052999999886083e-05, -1
68, 18, 2972, False, False, 2938, 2938, False, -1, 0.6419967499999757, 0.6675759500003551, 0, 0.008663, 2.5567000000004114e-05, -1
69, 19, 8327, False, False, 8317, 8317, False, -1, 1.3088851929999805, 1.3580466079997677, 0, 3.1173, 0.00021686100000017916, -1
70, 20, 3389, False, False, 3274, 3274, False, -1, 2.5988976379999826, 2.668928011999924, 0, 0.036404, 4.2289000000028665e-05, -1
71, 21, 4853, False, False, 4731, 4731, False, -1, 5.151981790999969, 5.291600024999752, 0, 1.78096, 9.89149999999217e-05, -1
72, 22, 5516, False, False, 5582, 5415, False, -1, 10.34740298099996, 10.69451058300001, 0, 2.53814, 0.0001321940000000854, -1
73, 23, 4262, False, False, 4159, 4186, False, -1, 20.693499770000017, 21.681591930000195, 0, 1.83918, 7.683400000013663e-05, -1
74, 24, 1646, False, False, 1516, 1214, False, -1, 41.968771961000016, 43.169214819000445, 0, 0.009124, 2.442700000004905e-05, -1
75, 25, 7093, False, False, 7056, 7072, False, -1, 60.000065408999944, 86.79636764399993, 0, 1.8758, 0.0004453599999998392, -1
76, 26, 3106, False, False, 2972, 2972, False, -1, 60.00008980999996, 173.46819098299966, 0, 1.06031, 8.768099999989509e-05, -1
77, 27, 6472, False, False, 6462, 6462, False, -1, 60.000084136000055, 346.942602395, 0, 3.76206, 0.0004131670000000476, -1
78, 28, 8867, False, False, 8931, 8865, False, -1, 60.000093885999945, 600.0001089959997, 0, 3.53814, 0.001174052000000092, -1
79, 29, 6236, False, False, 6160, 6210, False, -1, 60.000101763999965, 600.0000747449999, 0, 1.51065, 0.0003891350000000404, -1
80, 20, 4230100566, False, False, 4236588453, 4229785000, False, -1, 2.5913250129999597, 2.631026276999819, 0, 1.59369, 0.0021167610000001336, -1
81, 21, 277069428, False, False, 264734179, 264734200, False, -1, 5.215512137000019, 5.328481688000011, 0, 0.009282, 4.076099999994476e-05, -1
